Persecution at School	Sukuu Ɔtae
Points of Contrast	Nsɛm a Yɛde Bɛyɛ Ntotoho
[ Pictures ]	[ Mfonini ahorow ]
[ Credit Lines ]	[ Asɛm Fibea ]
G .	G .
Heck	Heck
[ Picture on page 7 ]	[ Kratafa 7 mfonini ]
[ Credit Line ]	[ Asɛm Fibea ]
Delphi , Greece	Delphi , Greece
[ Pictures on page 8 ]	[ Kratafa 8 mfonini ahorow ]
Why ?	Dɛn ntia ?
Whom Does Jehovah Draw ?	Henanom na Yehowa Twe Wɔn ?
Absolutely not !	Dabida !
God’s Fellow Workers	Onyankopɔn Adwumayɛboafo
Yes , what is Paul ?	Paulo ne hena ?
[ Footnote ]	[ Ase hɔ asɛm ]
By Way of Review	Ntĩmu
[ Picture on page 10 ]	[ Kratafa 10 mfonini ]
[ Pictures on page 13 ]	[ Kratafa 18 mfonini ]
Why Some Suffer Shipwreck	Nea Enti a Ebinom Gu Asu
10 , 11 .	10 , 11 .
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
[ Footnote ]	[ Ase hɔ asɛm ]
By Way of Review	Ntĩmu
[ Picture on page 16 ]	[ Kratafa 21 mfonini ]
[ Picture on page 17 ]	[ Kratafa 22 mfonini ]
[ Picture on page 18 ]	[ Kratafa 16 mfonini ]
[ Picture on page 22 ]	[ Kratafa 18 mfonini ]
[ Pictures on page 23 ]	[ Kratafa 17 mfonini ahorow ]
Polishing the Gemstones	Aboɔden Abo no Ho a Wotwiw
In what way ?	Ɔkwan bɛn so ?
AFRICA	AFRIKA
NAMIBIA	NAMIBIA
[ Pictures ]	[ Mfonini ahorow ]
[ Credit Lines ]	[ Asɛm Fibea ]
[ Pictures on page 26 ]	[ Kratafa 19 mfonini ]
[ Picture on page 28 ]	[ Mfonini wɔ kratafa 14 ]
Questions From Readers	Nsemmisa a Efi Akenkanfo Hɔ
Paul wrote :	Paulo kyerɛwee sɛ :
[ Footnote ]	[ Ase hɔ asɛm ]
[ Pictures on page 31 ]	[ Kratafa 26 mfonini ahorow ]
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
Let us see why .	Yɛnhwɛ deɛ enti a ɛte saa .
Why not ?	Dɛn ntia ?
The Root of Inequality	Nea Ɛyɛe a Ebinom Sen Afoforo
Will Things Ever Change ?	So Nneɛma Bɛsesa Da Bi ?
*	*
Let us see how .	Ma yɛnhwɛ sɛnea ɛte .
[ Footnote ]	[ Ase hɔ asɛm ]
[ Blurb on page 5 ]	[ Asɛm a wɔafa aka wɔ kratafa 5 ]
[ Picture on page 7 ]	[ Kratafa 7 mfonini ]
[ Picture on page 8 ]	[ Kratafa 9 mfonini ]
Why such a campaign ?	Dɛn nti na wotuu sa a ɛte saa ?
Quick , Positive Response	Wodii Ho Dwuma , Ntɛm So
1 , 2 .	1 , 2 .
The opposite is pride .	Su a ɛne no bɔ abira ne ahantan .
4 , 5 .	4 , 5 .
11 , 12 .	11 , 12 .
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
The Right Attitude	Su Pa
Worship God . ’ ”	Kotow Nyankopɔn ! ”
19 , 20 .	19 , 20 .
In Review	Ntĩmu
[ Picture on page 15 ]	[ Kratafa 15 mfonini ]
Show Honor to Others	Di Afoforo Ni
Jehovah Honors Humans	Yehowa Di Nnipa Ni
3 , 4 .	3 , 4 .
40 ?	40 ?
30 ?	30 ?
20 ?	20 ?
10 ?	10 ?
Why ?	Dɛn ntia ?
Jesus Honored Others	Yesu Dii Afoforo Ni
Her daughter was healed .	Ne babea no ho tɔɔ no .
What a powerful lesson !	Asuade a emu yɛ den bɛn ara ni !
Paul Showed Honor	Paulo Dii Afoforo Ni
11 , 12 .	11 , 12 .
Showing Honor in Our Day	Afoforo a Yebedi Wɔn Ni Wɔ Yɛn Mmere Yi Mu
Yes .	Yiw .
Honoring Jehovah	Yehowa a Yebedi No Ni
In Review	Ntĩmu
[ Picture on page 17 ]	[ Kratafa 22 mfonini ]
[ Picture on page 18 ]	[ Kratafa 16 mfonini ]
Indeed , we can !	Nokwarem no , yebetumi !
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
Avoid Negative Influences	Kwati Nkɛntɛnso Bɔne
On the contrary !	Dabida !
magazine .	nsɛmma nhoma no mu nsɛm a ɛba wɔ ne bere mu no ho .
Some Who Benefited	Ebinom a Wonyaa Mfaso
[ Picture on page 24 ]	[ Kratafa 20 mfonini ]
[ Picture on page 25 ]	
AS TOLD BY ULYSSES V .	SƐNEA ULYSSES V .
GLASS	GLASS KA KYERƐE
She spent time with us .	Onyaa bere maa yɛn .
Salute it ! ”	Munkyia ! ”
F .	F .
What about Ann and me ?	Na me ne Ann nso ɛ ?
H .	H .
We are totally neutral .	Yenni afã biara wɔ wiase nsɛm mu .
We had a good time .	Yɛn ani gyei .
Gilead on a Regular Basis	Gilead Adwuma a Meyɛ no Daa
What a privilege !	Hwɛ hokwan ara a ɛyɛ !
Working With the Students	Adesuafo a Mene Wɔn Yɛ Adwuma
Looking to the Future	Yɛhwɛ Daakye Kwan
[ Picture on page 26 ]	[ Kratafa 26 mfonini ]
[ Picture on page 26 ]	[ Kratafa 26 mfonini ]
[ Picture on page 26 ]	[ Kratafa 26 mfonini ]
Working with N .	Me ne N .
H .	H .
G .	G .
[ Picture on page 26 ]	[ Kratafa 26 mfonini ]
[ Picture on page 29 ]	[ Mfonini wɔ kratafa 29 ]
In the Gilead classroom	Wɔ Gilead adesuadan mu
[ Picture on page 31 ]	[ Kratafa 29 mfonini ]
Racism and Religion	Nnipa Mu Nyiyim Ne Nyamesom
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
Do You Love Life ?	So Wopɛ Nkwa ?
This can make life sad .	Eyi betumi ama asetra ayɛ awerɛhow .
Enjoy “ the Real Life ”	Nya “ Nokware Nkwa ” Mu Anigye
*	*
“ The Real Life ” Then	Afei “ Nokware Nkwa No ” Ba
So , do you love life ?	Ɛnde , so wopɛ nkwa ?
[ Footnote ]	[ Ase hɔ asɛm ]
“ TAKE a deep breath ! ”	“ KA WO koma to wo yam ! ”
“ Count to ten ! ”	“ Nya abotare ! ”
“ Bite your tongue ! ”	“ Mua w’ano ! ”
Where did this lead him ?	Ewiee no dɛn ?
Why ?	Dɛn ntia ?
How can we do so ?	Yɛbɛyɛ dɛn atumi ayɛ saa ?
In what way ?	Ɔkwan bɛn so ?
STEPS TO CONTROL ANGER	Akwan a Wobɛfa So Adi Abufuw So
Was this the case ?	So saa na asɛm no te ?
“ Hellenized Judaism ”	“ Yudasom a Wɔde Helafo Atetesɛm Afra ”
Professor E .	Ɔbenfo E .
Augustine followed suit .	Augustine yɛɛ saa ara .
Corrupting Pollutants	Ɔporɔw a Ɛsɛe Ade
What was that source ?	Na efi he ?
The Truth	Nokware No
[ Picture on page 11 ]	[ Kratafa 11 mfonini ]
Augustine	Augustine
1 , 2 .	1 , 2 .
Opinions vary .	Adwenkyerɛ no gu ahorow .
5 , 6 .	5 , 6 .
God Foresees the Future	Onyankopɔn Hu Nea Ɛbɛba Daakye
13 , 14 .	13 , 14 .
Wickedness abounded .	Ná amumɔyɛ abu so .
Hardly !	Dabida !
Trials were overcome .	Wodii sɔhwɛ ahorow so .
Jehovah Backs Up the Work	Yehowa Gyina Adwuma no Akyi
18 , 19 .	18 , 19 .
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
Never Give Up !	Mpa Abaw Da !
Points to Recall	Nsɛm a Ɛsɛ sɛ Wokae
Jehovah Prepares the Way	Yehowa Siesie Kwan No
A Difficult Assignment	Adwuma a Ɛyɛ Den
4 , 5 .	4 , 5 .
Give examples .	Fa ɛho nhwɛso ahorow ma .
Religious Environment	Ɔsom Mu Tebea
9 , 10 .	9 , 10 .
*	*
The Benefits of Law	Mmara so Mfaso Ahorow
14 , 15 .	14 , 15 .
16 , 17 .	16 , 17 .
What of our time ?	Na yɛn bere yi so nso ɛ ?
The Role of Technology	Dwuma a Mfiridwuma Di
[ Footnote ]	[ Ase hɔ asɛm ]
Points for Review	Nsɛm a Wɔde Tĩ Mu
[ Pictures on page 26 ]	[ Kratafa 19 mfonini ]
[ Picture on page 28 ]	[ Mfonini wɔ kratafa 14 ]
Questions From Readers	Nsemmisa a Efi Akenkanfo Hɔ
We do not know .	Yennim .
*	*
[ Footnotes ]	[ Ase hɔ asɛm ]
Do You Remember ?	So Wokae ?
( Romans 8 : 20 )	( Romafo 8 : 20 )
We inherited it .	Yenya fii awo mu .
( Matthew 24 : 15 )	( Mateo 24 : 15 )
( Jeremiah 7 : 23 )	( Yeremia 7 : 23 )
( Ephesians 4 : 8 )	( Efesofo 4 : 8 )
( Psalm 25 : 8 , 9 , 12 )	( Dwom 25 : 8 , 9 , 12 )
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
The Mystery of Ill Health	Yare Ho Ahintasɛm
Is this true ?	So eyi yɛ nokware ?
Creating the Mystery	Sɛnea Ahintasɛm no Fii Ase
What does the Bible say ?	Dɛn na Bible no ka ?
Satan’s Role	Dwuma a Satan Di
It has happened .	Ɛba saa .
What about witchcraft ?	Na abayisɛm nso ɛ ?
How Does Satan Work ?	Ɔkwan Bɛn So na Satan Di Dwuma ?
Many die unnecessarily .	Nnipa pii wu wɔ bere a anka ɛnsɛ sɛ wowu .
No .	Dabi .
The Long - Term Solution	Yare Ano Aduru a Ɛbɛtra Hɔ Daa
Think again of Job .	Susuw Hiob ho bio hwɛ .
[ Footnotes ]	[ Ase hɔ asɛm ]
See Awake !	Hwɛ June 8 , 1993 Nyan !
[ Pictures on page 7 ]	[ Kratafa 7 mfonini ahorow ]
*	*
But it didn’t .	Nanso , mannyae .
Things just got worse . ”	Nneɛma sɛee koraa . ”
Then I took up smoking .	Afei mifii ase nom sigaret .
They act like idiots !	Wɔyɛ nkwaseade !
And there are drugs .	Nnubɔne wɔ hɔ .
[ Footnotes ]	[ Ase hɔ asɛm ]
Questions for Review	Ntimu Nsɛmmisa
[ Picture on page 9 ]	[ Kratafa 9 mfonini ]
[ Picture on page 10 ]	[ Kratafa 10 mfonini ]
[ Picture on page 11 ]	[ Kratafa 11 mfonini ]
How ?	Ɔkwan bɛn so na ɛte saa ?
Should you attend ?	So ɛsɛ sɛ wokɔ ?
First , get the facts .	Nea edi kan no , hu ɛho nokwasɛm ahorow .
Who will be there ?	Henanom na wɔbɛba ase ?
When will it begin ?	Bere bɛn na wobefi ase ?
When will it end ?	Bere bɛn na wobewie ?
Explain .	Kyerɛkyerɛ mu .
15 , 16 .	15 , 16 .
As a youth !	Wɔ ne mmofraase !
[ Footnotes ]	[ Ase hɔ asɛm ]
Questions for Review	Ntimu Nsɛmmisa
[ Picture on page 15 ]	[ Kratafa 15 mfonini ]
[ Picture on page 16 ]	[ Kratafa 21 mfonini ]
[ Picture on page 16 ]	[ Kratafa 21 mfonini ]
[ Picture on page 17 ]	[ Kratafa 22 mfonini ]
I’m out for myself . ”	Me yiyeyɛ ho hia me . ”
Why We Need God’s Laws	Nea Enti a Yehia Onyankopɔn Mmara
‘ Counting the Days ’	‘ Yɛn Nna a Yɛbɛkan ’
Avoid Envying Wrongdoers	Mma W’ani Mmere Nnebɔneyɛfo
Give an example .	Ma nhwɛso .
Give an example .	Ma nhwɛso .
Watch Your Associations !	Hwɛ Wo Fekubɔ Yiye !
13 , 14 .	13 , 14 .
He is more real to me . ”	Mahu no yiye ankasa . ”
Do I pay attention ?	So meyɛ aso tie ?
Do I prepare ?	So misiesie me ho ?
Do I offer comments ? ’	So mema mmuae ? ”
Questions for Review	Ntimu Nsɛmmisa
□ What is real success ?	□ Dɛn ne yiyeyɛ ankasa ?
[ Picture on page 20 ]	[ Kratafa 25 mfonini ]
[ Picture on page 22 ]	[ Kratafa 18 mfonini ]
[ Picture on page 23 ]	[ Kratafa 24 mfonini ]
[ Picture on page 23 ]	[ Kratafa 24 mfonini ]
Jehovah Has Been My Crag	Yehowa Ayɛ Me Botan
T .	T .
A Lone Pioneer	Ɔkwampaefo a Ɔyɛ Ankonam
*	*
Who would he be ?	Na ɛbɛyɛ hena ?
*	*
[ Footnotes ]	[ Ase hɔ asɛm ]
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
They Did Jehovah’s Will	Wɔyɛɛ Yehowa Apɛde
Lesson for Us	Asuade Ma Yɛn
[ Footnote ]	[ Ase hɔ asɛm ]
Is this a threat ?	So eyi yɛ ade a ɛyɛ hu ?
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
Does Anyone Really Care ?	So Obi Wɔ Hɔ a Odwen Yɛn Ho Ankasa ?
A .	A .
Boulat / ​ Sipa Press	Boulat / Sipa Press
Someone Really Does Care	Obi Wɔ Hɔ a Odwen Yɛn Ho Ankasa
But are they winning ?	Na so wɔredi nkonim ?
No !	Dabi !
[ Pictures on page 7 ]	[ Kratafa 7 mfonini ahorow ]
Why Keep Your Promises ?	Dɛn Nti Na Ɛsɛ Sɛ Wudi Wo Bɔhyɛ So ?
What hope do we cherish ?	Anidaso bɛn na yɛwɔ ?
*	*
Rich Blessings From God	Nhyira a Ɛso Bi Nni a Efi Onyankopɔn Hɔ
[ Footnote ]	[ Ase hɔ asɛm ]
in Awake !	a ɛwɔ Nyan !
[ Pictures on page 10 ]	[ Kratafa 25 mfonini ahorow ]
[ Pictures on page 11 ]	[ Kratafa 27 mfonini ahorow ]
Proverbs for the Wise	Mmebusɛm Ma Anyansafo
Where the scribe ?	Kyerɛwfo wɔ he ?
No .	Dabi .
[ Picture on page 15 ]	[ Kratafa 15 mfonini ]
Why ?	Dɛn ntia ?
Does he ?	So ɔyɛ saa ?
Not really .	Dabida .
But was he ?	Nanso ɔyɛɛ saa ?
Jehovah’s Law to Israel	Yehowa Mmara a Ɔde Maa Israel
It Is Not Too Much	Ɛnyɛ Den Pii
Can You Answer ?	Wubetumi Abua ?
[ Picture on page 18 ]	[ Kratafa 16 mfonini ]
What Jehovah Asks	Nea Yehowa Hwehwɛ
The Importance of Love	Hia a Ɔdɔ Ho Hia
Second place ?	So ɛho nhia papa ?
By no means !	Ɛnte saa koraa !
How We Prove Our Love	Sɛnea Yɛda Yɛn Dɔ Adi
14 , 15 .	14 , 15 .
But is it really ?	Nanso , ɛte saa ankasa ?
How Would You Answer ?	Wubebua Dɛn ?
[ Picture on page 23 ]	[ Kratafa 24 mfonini ]
[ Picture on page 25 ]	
Chosen by Paul	Paulo Paw No
Make Yourself Available !	Tu Wo Ho Ma !
Then do as Timothy did .	Ɛnde yɛ sɛnea Timoteo yɛe no .
[ Footnote ]	[ Ase hɔ asɛm ]
[ Picture on page 31 ]	[ Kratafa 29 mfonini ]
[ Picture on page 28 ]	[ Mfonini wɔ kratafa 14 ]
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
Why So Little Time ?	Dɛn Nti na Bere Yɛ Tiaa Saa ?
TIME .	BERE .
Ah no !	Aa dabi !
Time in Abundance	Bere Pii Wɔ Hɔ
*	*
Ever Less Time	Bere Kɔ So Yɛ Tiaa
[ Footnote ]	[ Ase hɔ asɛm ]
Explain .	Kyerɛkyerɛ mu .
Why ?	Dɛn ntia ?
On the contrary !	Dabida !
16 , 17 .	16 , 17 .
Can You Explain ?	Wubetumi Akyerɛkyerɛ Mu ?
[ Picture on page 8 ]	[ Kratafa 9 mfonini ]
The Basis for True Peace	Nea Etumi De Nokware Asomdwoe Ba
Why “ a Time for War ” ?	Dɛn Nti na “ Akõdi Wɔ Ne Bere ” ?
This sword is powerful .	Saa nkrante yi wɔ tumi kɛse .
Why must we do so ?	Dɛn nti na ɛsɛ sɛ yɛyɛ saa ?
Explain .	Kyerɛkyerɛ mu .
What Is Your Answer ?	Dɛn Ne Wo Mmuae ?
[ Pictures on page 15 ]	[ Kratafa 15 mfonini ]
to laugh . . .	ɔserew . . .
to embrace . . .	atuuyɛ . . .
to love . . .	ɔdɔ . . .
to plant . . .	ɔtɛw . . .
to skip about . . .	asaw . . .
to build . . .	osi . . . bere ankasa
You Can Endure to the End	Wubetumi Agyina Akodu Awiei
1 , 2 .	1 , 2 .
Spectators to Spur You On	Bɛhwɛadefo a Wɔbɛhyɛ Wo Nkuran
E .	V .
Hardly .	Ɛnte saa koraa .
*	*
Set Your Pace Wisely	Tutu W’anammɔn Nyansam
Run at your own pace .	Tu mmirika no sɛnea eye ma wo .
17 , 18 .	17 , 18 .
What a joy that will be !	Hwɛ anigye ara a ɛno bɛyɛ !
As the End Draws Closer	Bere a Awiei no Bɛn No
[ Footnotes ]	[ Ase hɔ asɛm ]
Do You Remember ?	So Wokae ?
[ Picture on page 18 ]	[ Kratafa 16 mfonini ]
Acting on What I Learned	Meyɛ Nea Misuae no Ho Biribi
Brutal Persecution	Ɔtaa a Emu Yɛ Den
Growth Despite Opposition	Yenyaa Nkɔanim Ɛmfa Ho Ɔsɔretia
[ Picture on page 24 ]	[ Kratafa 20 mfonini ]
[ Picture on page 25 ]	
With my wife , Marianthi	Me ne me yere Marianthi
What is it ?	Ɛyɛ aduaba bɛn ?
A riddle .	Ɛyɛ aborɔme .
Biblical Riddles Abound	Bible mu Aborɔme Dɔɔso
Unlocking Sacred Secrets	Ahintasɛm Kronkron no So Bue
They loved his miracles .	Wɔn ani gyee n’anwonwade ahorow no ho .
Looking to the Light	Hann no a Wɔhwɛ
What should I do ? ”	Dɛn na menyɛ ? ”
They were spiritual men .	Ná wɔyɛ honhom mufo .
May we be like them .	Ɛmmra sɛ yɛbɛyɛ sɛ wɔn .
Timothy declined .	Timothy ampene .
T .	T .
[ Picture on page 16 ]	[ Kratafa 21 mfonini ]
[ Picture on page 16 ]	[ Kratafa 21 mfonini ]
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
Dr . William A .	Ɔbenfo William A .
Why a sheet ?	Dɛn nti na ɔde ntama no hyɛɛ mu ?
Why not ?	Dɛn ntia ?
Thus he sinned .	Enti ɔyɛɛ bɔne .
The True Hope	Nokware Anidaso
Why ?	Dɛn ntia ?
[ Picture on page 7 ]	[ Kratafa 7 mfonini ]
We Must Learn to Love God	Ɛsɛ sɛ Yesua Sɛ Yɛbɛdɔ Onyankopɔn
Letting Your Love Grow	Wo Dɔ a Wobɛma Emu Ayɛ Den
Continued Effort Required	Ɛhwehwɛ sɛ Yɛkɔ so Bɔ Ho Mmɔden
[ Footnote ]	[ Ase hɔ asɛm ]
[ Pictures on page 10 ]	[ Kratafa 25 mfonini ahorow ]
UN PHOTO 186226 / ​ M .	UN PHOTO 186226 / M .
Grafman	Grafman
Forgive From Your Heart	Fi Komam Fa Firi
Is that not so ?	Ɛnte saa ?
That covers a lot .	Ɛno kyerɛ pii .
Do you see the link ?	Woahu sɛnea ɛte ?
9 , 10 .	9 , 10 .
Why is this a challenge ?	Dɛn nti na eyi yɛ den ?
What can we do ?	Dɛn na yebetumi ayɛ ?
Make Peace ​ — Forgive	Munsiesie Mo Ntam — Momfa Mfiri
( See footnote . )	( Hwɛ ase hɔ asɛm . )
What then ?	Sɛ ɛte saa a dɛn bio na wobɛyɛ ?
Maybe he was .	Ebetumi aba sɛ ɛyɛ ɔno na wadi mfomso .
22 , 23 .	22 , 23 .
You know the answer .	Wunim mmuae no .
[ Footnote ]	[ Ase hɔ asɛm ]
Do You Recall ?	So Wokae ?
[ Picture on page 15 ]	[ Kratafa 15 mfonini ]
You May Gain Your Brother	Wubetumi Anya Wo Nua
1 , 2 .	1 , 2 .
That is wise .	Ɛyɛ nea nyansa wom .
What Did He Mean ?	Ná Ɔkyerɛ Dɛn ?
5 , 6 .	5 , 6 .
*	*
Let us consider each .	Momma yensusuw emu biara ho .
Why ?	Dɛn ntia ?
Because of your goal .	Esiane wo botae no nti .
You may succeed .	Ebia ɛbɛyɛ yiye .
Getting Mature Help	Hwehwɛ Wɔn a Wɔn Ho Akokwaw Hɔ Mmoa
Hardly .	Ɛnte saa koraa .
Why ?	Dɛn ntia ?
And who could they be ?	Na henanom na wubetumi ne wɔn akɔ ?
What does this entail ?	Dɛn na eyi kyerɛ ?
[ Footnotes ]	[ Ase hɔ asɛm ]
Do You Recall ?	So Wokae ?
[ Picture on page 18 ]	[ Kratafa 16 mfonini ]
[ Picture on page 20 ]	[ Kratafa 25 mfonini ]
How did this come about ?	Ɔkwan bɛn so na ɛbaa saa ?
Is such service for you ?	So wubetumi ayɛ adwuma yi bi ?
Right Motives Needed	Adwempa a Wubenya Ho Hia
Count the Cost	Susuw Nea Ebefi Mu Aba Ho
The Biggest Challenge	Akwanside Kɛse
What About Homesickness ?	Anigyina Nso Ɛ ?
What About Children ?	Mmofra Nso Ɛ ?
Let them tell us .	Momma wɔnka nkyerɛ yɛn .
What About You ?	Wo Nso Ɛ ?
[ Picture on page 24 ]	[ Kratafa 20 mfonini ]
[ Picture on page 25 ]	
[ Picture on page 25 ]	
[ Picture on page 26 ]	[ Kratafa 26 mfonini ]
Who is behind it ?	Henanom na wɔyɛe ?
Why a New Translation ?	Dɛn Nti na Wɔyɛɛ Nkyerɛase Foforo ?
Writes Alan S .	Alan S .
Not directly .	Ɛnte saa ankasa .
*	*
Unique Features	Afã Horow a Ɛda Nsow No
Restoring God’s Name	Onyankopɔn Din a Wɔsan De Hyɛ Nea Ɛhyɛ
It took them 16 years .	Egyee wɔn mfirihyia 16 .
[ Footnotes ]	[ Ase hɔ asɛm ]
R .	F .
[ Blurb on page 29 ]	[ Asɛm a wɔafa aka wɔ kratafa 29 ]
[ Blurb on page 30 ]	[ Asɛm a wɔafa aka wɔ kratafa 30 ]
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
2000 ​ — A Marked Year ?	2000 — So Ɛyɛ Afe a Wɔahyɛ No Agyirae ?
But does it ?	Nanso , so ɛte saa ?
We shall see .	Yɛbɛhu akyiri yi .
[ Footnote ]	[ Ase hɔ asɛm ]
When Was Jesus Born ?	Bere Bɛn na Wɔwoo Yesu ?
*	*
Does that matter ?	So ɛno ho hia ?
No .	Dabi .
No , it is not .	Dabi , ɛnte saa .
[ Footnotes ]	[ Ase hɔ asɛm ]
on page 5 .	wɔ kratafa 5 .
[ Box on page 5 ]	[ Kratafa 5 adaka ]
2000 or 2001 ?	2000 Anaa 2001 ?
[ Box on page 6 ]	[ Kratafa 6 adaka ]
How the B.C . - A.D .	Sɛnea Wonyaa B.C . - A.D .
Dionysius set to work .	Dionysius fii adwuma ase .
Radiant health !	Akwahosan a edi mu !
It is God’s war .	Ɛyɛ Onyankopɔn ko .
[ Box on page 7 ]	[ Kratafa 19 adaka ]
Of course not !	Ɛda adi sɛ ɛnte saa koraa !
How so ?	Ɔkwan bɛn so ?
Is that how you feel ?	Saa na ato wo anaa ?
If not , do not despair .	Sɛ ɛnte saa a , mpa abaw .
5 , 6 .	5 , 6 .
Who wrote that psalm ?	Hena na ɔkyerɛw saa dwom no ?
The message ?	Eyi kyerɛ dɛn ?
So the pressure is on !	Enti nhyɛso no wɔ hɔ !
By no means !	Ɛnte saa koraa !
Other Imitators of Christ	Nnipa Foforo a Wosuasuaa Kristo
Do You Remember ?	So Wokae ?
[ Pictures on page 10 ]	[ Kratafa 25 mfonini ahorow ]
Do you ?	Ɛte saa wɔ wo fam anaa ?
[ Picture on page 12 ]	[ Kratafa 25 mfonini ]
( c ) on thorny ground ?	Aba a egu ( a ) kwankyɛn ( b ) abotan so ( d ) nsɔe mu no , kyerɛ dɛn ?
14 - 16 .	14 - 16 .
What good work ?	Adwuma pa bɛn ?
Glorious Future Benefits	Daakye a Ɛyɛ Anigye Mu Mfaso
19 , 20 .	19 , 20 .
Can You Explain ?	Wubetumi Akyerɛkyerɛ Mu ?
[ Picture on page 16 ]	[ Kratafa 21 mfonini ]
[ Credit Line ]	[ Asɛm Fibea ]
Garo Nalbandian	Garo Nalbandian
[ Picture on page 17 ]	[ Kratafa 22 mfonini ]
[ Pictures on page 18 ]	[ Kratafa 22 mfonini ahorow ]
When Generosity Abounds	Bere a Ayamye Bu So
How did Solomon respond ?	Dɛn na Salomo yɛɛ wɔ ho ?
Why ?	Dɛn ntia ?
So are Kingdom Halls .	Saa ara nso na ɛte wɔ Ahenni Asa ahorow nso ho .
[ Box on page 22 ]	[ Kratafa 28 adaka ]
CHARITABLE PLANNING	ADƆE HO NHYEHYƐE
These include :	Eyinom mu bi ne :
[ Pictures on page 23 ]	[ Kratafa 17 mfonini ahorow ]
The year was 1956 .	Na afe no yɛ 1956 .
Newlywed and in Prison	Maware Foforo na Meda Afiase
What should I choose ?	Nea ɛwɔ he na mempaw ?
A Pleasant Surprise	Anigyesɛm a Ɛyɛ Nwonwa
Do not even move ! ”	Monkeka mo ho mpo ! ”
Send me . ”	no ‘ twa kɔɔ ’ nsasesin foforo mu .
[ Picture on page 25 ]	
With Martha in 1956	Me ne Martha wɔ 1956 mu
[ Picture on page 26 ]	[ Kratafa 26 mfonini ]
The harbor in Kaválla	Wɔ Kaválla hyɛn gyinabea
[ Picture on page 26 ]	[ Kratafa 26 mfonini ]
With Martha in 1997	Me ne Martha wɔ 1997 mu
Questions From Readers	Nsemmisa a Efi Akenkanfo Hɔ
They Did Jehovah’s Will	Wɔyɛɛ Yehowa Apɛde
Lesson for Us	Asuade Ma Yɛn
[ Footnote ]	[ Ase hɔ asɛm ]
This was not thievery .	Na eyi nyɛ korɔnbɔ .
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
So said one young man .	Saa na aberante bi kae .
I enjoy it very much . ”	M’ani gye ho yiye . ”
What is your opinion ?	Dɛn na wususuw ?
How can we be sure ?	Yɛbɛyɛ dɛn atumi ahu sɛ ɛte saa ?
Of course not !	Ɛda adi sɛ ɛnte saa koraa !
Is that too long ?	So akyɛ dodo ?
No .	Dabi .
How can we be so sure ?	Yɛbɛyɛ dɛn atumi ahu sɛ wansesa ampa ?
What God Expects of Us	Nea Onyankopɔn Hwehwɛ Fi Yɛn Hɔ
Is it relevant today ?	So ɛho hia nnɛ ?
[ Picture on page 6 ]	[ Kratafa 6 mfonini ]
[ Picture on page 7 ]	[ Kratafa 7 mfonini ]
John E .	Afei John E .
*	*
[ Footnote ]	[ Ase hɔ asɛm ]
[ Pictures on page 10 ]	[ Kratafa 25 mfonini ahorow ]
[ Pictures on page 10 ]	[ Kratafa 25 mfonini ahorow ]
Remember Jehovah Now !	Kae Yehowa Nnɛ !
Effects of Advancing Age	Nea Mpanyinyɛ De Ba
How Would You Answer ?	Wubebua Dɛn ?
[ Pictures on page 15 ]	[ Kratafa 15 mfonini ]
[ Pictures on page 16 ]	[ Mfonini ahorow wɔ kratafa 16 ]
Is Everything Vanity ?	So Biribiara Yɛ Ahuhude ?
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
How so ?	Ɔkwan bɛn so ?
How Would You Answer ?	Wubebua Dɛn ?
[ Picture on page 20 ]	[ Kratafa 25 mfonini ]
